feature;importancia
DIF_PSICOPEDAGOGICO_NIVEL_0.75;0,0
DIF_PSICOPEDAGOGICO_NIVEL_0.78125;0,0
DIF_PSICOPEDAGOGICO_NIVEL_0.8333333329999997;0,0
DIF_PSICOPEDAGOGICO_NIVEL_0.9375;0,0
DIF_PSICOPEDAGOGICO_NIVEL_1.0416666670000003;0,0
DIF_PSICOPEDAGOGICO_NIVEL_1.09375;0,0
DIF_PSICOPEDAGOGICO_NIVEL_1.375;0,0
DIF_PSICOPEDAGOGICO_NIVEL_1.40625;0,0
DIF_PSICOPEDAGOGICO_NIVEL_1.4583333329999997;0,0
DIF_PSICOPEDAGOGICO_NIVEL_1.5625;0,0
IPP_8.229166667;0,0
DIF_PSICOPEDAGOGICO_NIVEL_1.71875;0,0
DIF_PSICOPEDAGOGICO_NIVEL_1.75;0,0
DIF_PSICOPEDAGOGICO_NIVEL_1.796875;0,0
DIF_PSICOPEDAGOGICO_NIVEL_2.0;0,0
DIF_PSICOPEDAGOGICO_NIVEL_2.03125;0,0
DIF_PSICOPEDAGOGICO_NIVEL_2.0833333329999997;0,0
DIF_PSICOPEDAGOGICO_NIVEL_2.25;0,0
DIF_PSICOPEDAGOGICO_NIVEL_2.375;0,0
DIF_PSICOPEDAGOGICO_NIVEL_2.6041666670000003;0,0
DIF_PSICOPEDAGOGICO_NIVEL_2.625;0,0
DIF_PSICOPEDAGOGICO_NIVEL_2.75;0,0
DIF_PSICOPEDAGOGICO_NIVEL_2.875;0,0
DIF_PSICOPEDAGOGICO_NIVEL_3.0;0,0
DIF_PSICOPEDAGOGICO_NIVEL_3.0208333330000006;0,0
DIF_PSICOPEDAGOGICO_NIVEL_3.28125;0,0
DIF_PSICOPEDAGOGICO_NIVEL_-6.5625;0,0
DIF_PSICOPEDAGOGICO_NIVEL_3.5;0,0
DIF_PSICOPEDAGOGICO_NIVEL_3.5416666669999994;0,0
DIF_PSICOPEDAGOGICO_NIVEL_3.59375;0,0
DIF_PSICOPEDAGOGICO_NIVEL_3.625;0,0
