RA;FASE;TURMA;NOME;ANO_NASC;IDADE_22;GENERO;ANO_INGRESSO;INSTITUICAO_DE_ENSINO;PEDRA_20;PEDRA_21;PEDRA_22;INDE_22;CG;CF;CT;NO_AV;AVALIADOR1;REC_AV1;AVALIADOR2;REC_AV2;AVALIADOR3;REC_AV3;AVALIADOR4;REC_AV4;IAA;IEG;IPS;REC_PSICOLOGIA;IDA;MATEM;PORTUG;INGLES;INDICADO;ATINGIU_PV;IPV;IAN;FASE_IDEAL;DEFAS;DESTAQUE_IEG;DESTAQUE_IDA;DESTAQUE_IPV;ANO;INDE_2023;PEDRA_2023;NOME_ANONIMIZADO;DATA_DE_NASC;IDADE;IPP;MAT;POR;ING;DEFASAGEM;INDE_2024;PEDRA_2024;PEDRA_23;INDE_23;AVALIADOR5;AVALIADOR6;ESCOLA;ATIVO_INATIVO;ATIVO_INATIVO1;INDE;RISCO_DEFASAGEM;FAIXA_INDE;FAIXA_IAA;FAIXA_IEG;FAIXA_IPS;FAIXA_IPP;FAIXA_IDA;FAIXA_IPV;FAIXA_IAN;FAIXA_DEFASAGEM;DIF_AUTOAVALIACAO_DESEMPENHO;DIF_ENGAJAMENTO_DESEMPENHO;DIF_PSICOPEDAGOGICO_NIVEL;MEDIA_INDICADORES_SEM_IAN;QTD_INDICADORES_ABAIXO_5;QTD_INDICADORES_ABAIXO_7;INSTITUICAO_ENSINO;PROB_RISCO_DEFASAGEM;GRUPO_MULTI;CLASSIFICACAO_MODELO;PEDRA_ANALISE
RA-589;1;K;Aluno-589;2013,0;9,0;Feminino;2022;Escola Pública;;;Ametista;7,744;219,0;57,0;4,0;3,0;Avaliador-4;Mantido na Fase atual;Avaliador-2;Mantido na Fase atual;;Mantido na Fase atual;;;9,5;9,4;7,5;Não atendido;5,8;3,0;8,5;;Não;Não;7,056;10,0;Fase 1 (4º ano);0,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;7,744;0;Bom;Excelente;Excelente;Bom;Sem informação;Médio;Bom;Excelente;Sem informação;3,7;3,6000000000000005;;7,851199999999999;0;1;;0,7222051328593574;Misto;1;nan
RA-593;1;K;Aluno-593;2012,0;10,0;Feminino;2021;Escola Pública;;Topázio;Ágata;6,254;694,0;168,0;11,0;3,0;Avaliador-4;Mantido na Fase atual;Avaliador-2;Promovido de Fase;;Mantido na Fase atual;;;7,5;7,4;7,5;Não atendido;4,6;3,0;6,2;;Não;Não;6,278;5,0;Fase 2 (5º e 6º ano);-1,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,254;1;Médio;Bom;Bom;Bom;Sem informação;Baixo;Médio;Médio;Sem informação;2,9000000000000004;2,8000000000000007;;6,6556;1;2;;0,816477819174182;Misto;1;nan
RA-598;1;L;Aluno-598;2011,0;11,0;Feminino;2022;Escola Pública;;;Ágata;6,35;669,0;162,0;13,0;3,0;Avaliador-4;Mantido na Fase atual;Avaliador-2;Mantido na Fase atual;;Mantido na Fase atual;;;9,5;7,2;7,5;Sem limitações;3,7;4,7;2,7;;Não;Não;6,944;5,0;Fase 2 (5º e 6º ano);-1,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,35;1;Médio;Excelente;Bom;Bom;Sem informação;Baixo;Médio;Médio;Sem informação;5,8;3,5;;6,9688;1;2;;0,816477819174182;Misto;1;nan
RA-600;1;L;Aluno-600;2013,0;9,0;Feminino;2021;Escola Pública;;Ametista;Ágata;7,011;483,0;126,0;10,0;3,0;Avaliador-4;Mantido na Fase atual;Avaliador-2;Mantido na Fase atual;;Mantido na Fase atual;;;8,5;8,4;7,5;Sem limitações;3,9;2,8;5,0;;Não;Não;6,833;10,0;Fase 1 (4º ano);0,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;7,011;0;Bom;Excelente;Bom;Bom;Sem informação;Baixo;Médio;Excelente;Sem informação;4,6;4,5;;7,026599999999999;1;2;;0,8091923532869033;Misto;1;nan
RA-601;1;L;Aluno-601;2014,0;8,0;Masculino;2021;Escola Pública;;Topázio;Ametista;7,713;231,0;60,0;7,0;3,0;Avaliador-4;Mantido na Fase atual;Avaliador-2;Mantido na Fase atual;;Mantido na Fase atual;;;9,0;9,7;7,5;Sem limitações;5,7;5,3;6,0;;Não;Não;7,167;10,0;ALFA  (2º e 3º ano);1,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;7,713;0;Bom;Excelente;Excelente;Bom;Sem informação;Médio;Bom;Excelente;Sem informação;3,3;3,999999999999999;;7,8134;0;1;;0,7222051328593574;Misto;1;nan
RA-606;1;L;Aluno-606;2012,0;10,0;Masculino;2022;Escola Pública;;;Ágata;6,127;704,0;169,0;14,0;3,0;Avaliador-4;Mantido na Fase atual;Avaliador-2;Promovido de Fase;;Mantido na Fase atual;;;9,5;9,0;7,5;Sem limitações;1,8;2,0;1,5;;Não;Não;6,111;5,0;Fase 2 (5º e 6º ano);-1,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,127;1;Médio;Excelente;Excelente;Bom;Sem informação;Baixo;Médio;Médio;Sem informação;7,7;7,2;;6,7822000000000005;1;2;;0,7865377035001163;Misto;1;nan
RA-607;1;L;Aluno-607;2012,0;10,0;Masculino;2022;Escola Pública;;;Ágata;6,44;652,0;158,0;12,0;3,0;Avaliador-4;Mantido na Fase atual;Avaliador-2;Promovido de Fase;;Mantido na Fase atual;;;6,8;8,1;7,5;Sem limitações;4,0;3,0;5,0;;Não;Não;7,444;5,0;Fase 2 (5º e 6º ano);-1,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,44;1;Médio;Médio;Bom;Bom;Sem informação;Baixo;Bom;Médio;Sem informação;2,8;4,1;;6,768800000000001;1;2;;0,8091923532869033;Misto;1;nan
RA-626;1;N;Aluno-626;2011,0;11,0;Masculino;2021;Escola Pública;;Ágata;Quartzo;5,818;748,0;178,0;9,0;3,0;Avaliador-7;Mantido na Fase atual;Avaliador-3;Mantido na Fase atual;;Mantido na Fase atual;;;7,4;7,6;7,5;Não atendido;1,3;2,5;0,0;;Não;Não;7,278;5,0;Fase 2 (5º e 6º ano);-1,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;5,818;1;Médio;Bom;Bom;Bom;Sem informação;Baixo;Bom;Médio;Sem informação;6,1000000000000005;6,3;;6,2156;1;1;;0,7898883504237222;Misto;1;nan
RA-637;1;P;Aluno-637;2012,0;10,0;Feminino;2021;Escola Pública;;Topázio;Ametista;7,039;477,0;124,0;8,0;3,0;Avaliador-4;Mantido na Fase atual;Avaliador-2;Promovido de Fase;;Mantido na Fase atual;;;8,5;9,0;7,5;Não atendido;5,8;4,8;6,8;;Não;Não;7,0;5,0;Fase 2 (5º e 6º ano);-1,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;7,039;1;Bom;Excelente;Excelente;Bom;Sem informação;Médio;Bom;Médio;Sem informação;2,7;3,2;;7,56;0;1;;0,7222051328593574;Misto;1;nan
RA-638;1;P;Aluno-638;2013,0;9,0;Feminino;2020;Escola Pública;Topázio;Ametista;Ametista;7,059;467,0;120,0;7,0;3,0;Avaliador-4;Mantido na Fase atual;Avaliador-2;Mantido na Fase atual;;Mantido na Fase atual;;;8,5;9,3;7,5;Não atendido;3,9;2,0;5,8;;Não;Não;6,278;10,0;Fase 1 (4º ano);0,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;7,059;0;Bom;Excelente;Excelente;Bom;Sem informação;Baixo;Médio;Excelente;Sem informação;4,6;5,4;;7,0956;1;2;;0,7865377035001163;Misto;1;nan
RA-639;1;P;Aluno-639;2012,0;10,0;Feminino;2021;Escola Pública;;Ametista;Ágata;6,613;622,0;151,0;12,0;3,0;Avaliador-4;Mantido na Fase atual;Avaliador-2;Promovido de Fase;;Mantido na Fase atual;;;8,5;7,4;7,5;Não atendido;5,5;3,2;7,8;;Não;Não;6,611;5,0;Fase 2 (5º e 6º ano);-1,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,613;1;Médio;Excelente;Bom;Bom;Sem informação;Médio;Médio;Médio;Sem informação;3,0;1,9000000000000004;;7,102199999999999;0;2;;0,7879013992053588;Misto;1;nan
RA-640;1;P;Aluno-640;2011,0;11,0;Feminino;2022;Escola Pública;;;Ágata;6,73;577,0;141,0;11,0;3,0;Avaliador-4;Mantido na Fase atual;Avaliador-2;Promovido de Fase;;Mantido na Fase atual;;;9,0;8,4;7,5;Não atendido;4,8;2,5;7,0;;Não;Não;6,778;5,0;Fase 2 (5º e 6º ano);-1,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,73;1;Médio;Excelente;Bom;Bom;Sem informação;Baixo;Médio;Médio;Sem informação;4,2;3,6000000000000005;;7,2956;1;2;;0,7925073874134464;Misto;1;nan
