ANO;RA;NOME;FASE;TURMA;GENERO;IDA;IEG;IPS;IPP;IAA;IPV;PROB_RISCO_DEFASAGEM;CLASSIFICACAO_RISCO_MODELO;RISCO_DEFASAGEM;IAN;DEFASAGEM
2023;RA-717;;FASE 1;1G;Feminino;5,9;8,5;7,52;8,125;0,0;8,446666667;0,8758029356137003;Alto;1;5,0;-1,0
2023;RA-722;;FASE 1;1N;Feminino;6,4;9,6;2,52;8,125;8,5;8,67;0,8758029356137003;Alto;1;5,0;-1,0
2023;RA-706;;ALFA;ALFA G - G2/G3;Feminino;7,3;7,8;4,39;6,875;9,0;8,08;0,8743214447423443;Alto;1;5,0;-2,0
2024;RA-905;;ALFA;ALFA J - G2/G3;Masculino;3,0;7,7794117645;7,51;6,875;9,002;6,99;0,8738997198742351;Alto;1;5,0;-2,0
2024;RA-1371;;ALFA;ALFA S - G2/G3;Feminino;4,5;6,9782608695;7,51;6,875;7,502;7,5;0,8738997198742351;Alto;1;5,0;-1,0
2024;RA-1353;;ALFA;ALFA Q - G2/G3;Feminino;3,0;9,5;7,51;6,875;8,002;6,08;0,8738997198742351;Alto;1;5,0;-1,0
2024;RA-1338;;ALFA;ALFA M - G0/G1;Masculino;3,0;8,6607142855;7,51;6,875;8,002;5,33;0,8738997198742351;Alto;1;5,0;-1,0
2023;RA-791;;FASE 1;1K;Feminino;5,3;8,1;7,52;7,8125;0,0;7,723333333;0,8738652831427525;Alto;1;5,0;-2,0
2023;RA-1030;;FASE 1;1C;Masculino;6,9;9,7;3,77;6,875;8,5;8,39;0,8712082684690138;Alto;1;5,0;-1,0
2023;RA-806;;ALFA;ALFA Q - G2/G3;Masculino;7,8;8,3;6,27;6,875;8,5;7,095;0,8689637270598883;Alto;1;5,0;-1,0
2023;RA-713;;FASE 1;1G;Masculino;7,5;9,6;3,77;6,875;8,0;8,166666667;0,865787826801139;Alto;1;5,0;-1,0
2023;RA-1050;;FASE 1;1H;Masculino;7,2;9,2;6,27;8,125;9,0;8,223333333;0,8641180354593306;Alto;1;5,0;-1,0
2023;RA-652;;FASE 1;1P;Feminino;7,0;9,4;6,89;8,125;9,0;8,446666667;0,8641180354593306;Alto;1;5,0;-1,0
2023;RA-745;;FASE 1;1G;Masculino;7,0;9,3;3,77;8,125;9,5;8,893333333;0,8641180354593306;Alto;1;5,0;-1,0
2023;RA-645;;FASE 1;1R;Feminino;7,3;8,5;6,27;8,125;9,0;8,116666667;0,8641180354593306;Alto;1;5,0;-1,0
2023;RA-784;;FASE 1;1L;Feminino;7,3;9,5;7,52;8,125;10,0;8,783333333;0,8641180354593306;Alto;1;5,0;-1,0
2023;RA-1033;;FASE 1;1D;Feminino;7,9;8,9;7,52;8,125;9,0;9,006666667;0,8641180354593306;Alto;1;5,0;-1,0
2023;RA-104;;FASE 5;5F;Masculino;2,6;7,7;2,52;5,625;0,0;5,6275;0,8632720843421359;Alto;1;2,5;-3,0
2023;RA-345;;FASE 3;3B;Masculino;4,6;6,8;6,26;8,125;8,8;7,1725;0,8632720843421359;Alto;1;5,0;-1,0
2023;RA-152;;FASE 4;4M;Feminino;4,5;7,7;2,52;7,8125;7,9;7,71;0,8620457473794454;Alto;1;5,0;-2,0
2023;RA-1040;;FASE 1;1F;Masculino;6,6;9,3;7,52;7,8125;10,0;8,06;0,8611316300674967;Alto;1;5,0;-1,0
2024;RA-897;;ALFA;ALFA I - G2/G3;Masculino;6,0;2,7525252525;2,51;6,875;7,002;6,66;0,8591022257108736;Alto;1;5,0;-1,0
2023;RA-836;;ALFA;ALFA G - G2/G3;Masculino;6,7;9,6;6,27;6,875;9,5;8,085;0,8591022257108736;Alto;1;5,0;-2,0
2024;RA-978;;ALFA;ALFA S - G2/G3;Feminino;6,5;9,5;6,26;6,875;9,502;7,5;0,8591022257108736;Alto;1;5,0;-1,0
2024;RA-1337;;ALFA;ALFA M - G0/G1;Masculino;6,0;4,722222222;7,51;6,875;8,002;5,66;0,8591022257108736;Alto;1;5,0;-2,0
2024;RA-1365;;ALFA;ALFA S - G2/G3;Masculino;6,5;9,7916666665;6,26;6,875;9,002;6,99;0,8591022257108736;Alto;1;5,0;-1,0
2024;RA-1515;;2U;2U;Feminino;3,5;6,6666666665;6,255;6,875;6,418;6,72;0,8587579162215997;Alto;1;5,0;-1,0
2024;RA-116;;5A;5A;Feminino;4,5;7,535353535666666;5,635;6,875;8,334;6,73;0,8587579162215997;Alto;1;5,0;-2,0
2024;RA-251;;5N;5N;Masculino;4,5;8,612836439;5,63;6,875;8,751;7,326666667;0,8587579162215997;Alto;1;5,0;-1,0
2023;RA-609;;FASE 2;2U;Masculino;5,3;6,4;7,52;6,875;9,5;6,216666667;0,858207648958503;Alto;1;5,0;-1,0
2023;RA-762;;FASE 1;1K;Masculino;5,8;9,1;3,14;7,8125;10,0;7,67;0,8575374053472411;Alto;1;5,0;-2,0
2023;RA-99;;FASE 6;6L;Masculino;4,5;8,3;5,63;7,8125;7,9;7,4225;0,8562507525016568;Alto;1;5,0;-1,0
2024;RA-1357;;ALFA;ALFA Q - G2/G3;Masculino;6,75;7,5;7,51;8,125;8,002;7,335;0,8559644067825977;Alto;1;5,0;-1,0
2023;RA-159;;FASE 4;4N;Feminino;6,3;8,1;2,52;8,125;7,9;7,8775;0,8553539950693829;Alto;1;5,0;-2,0
2023;RA-160;;FASE 5;5L;Feminino;5,0;8,3;2,52;8,125;8,8;7,46;0,8553539950693829;Alto;1;5,0;-1,0
2023;RA-534;;FASE 2;2D;Masculino;5,4;8,1;2,52;8,125;0,0;7,92;0,8553539950693829;Alto;1;5,0;-1,0
2023;RA-902;;ALFA;ALFA E - G2/G3;Masculino;3,9;9,3;2,52;5,3125;10,0;6,5;0,8550509644960907;Alto;1;2,5;-3,0
2023;RA-792;;ALFA;ALFA L - G2/G3;Feminino;7,2;7,7;7,52;6,875;9,0;9,085;0,8549040863201833;Alto;1;5,0;-2,0
2024;RA-1364;;ALFA;ALFA S - G2/G3;Masculino;8,75;8,4166666665;7,51;6,875;8,002;6,99;0,8532580970462185;Alto;1;5,0;-1,0
2024;RA-975;;ALFA;ALFA R - G0/G1;Feminino;8,0;7,708333333500001;5,01;6,875;8,502;7,33;0,8532580970462185;Alto;1;5,0;-1,0
2024;RA-977;;ALFA;ALFA R - G0/G1;Feminino;7,0;7,291666666499999;6,26;6,875;10,002;7,58;0,8532580970462185;Alto;1;5,0;-1,0
2023;RA-955;;ALFA;ALFA N - G2/G3;Feminino;7,8;8,8;3,14;6,875;9,0;7,09;0,8532580970462185;Alto;1;5,0;-2,0
2023;RA-763;;ALFA;ALFA O - G2/G3;Feminino;7,9;9,2;3,14;6,875;0,0;9,0;0,8532580970462185;Alto;1;5,0;-2,0
2023;RA-991;;ALFA;ALFA T - G2/G3;Feminino;7,7;9,1;3,14;6,875;10,0;9,585;0,8532580970462185;Alto;1;5,0;-1,0
2023;RA-740;;ALFA;ALFA G - G2/G3;Feminino;9,1;8,7;7,52;6,875;0,0;8,925;0,8532580970462185;Alto;1;5,0;-2,0
2024;RA-1014;;ALFA;ALFA E - G2/G3;Feminino;5,25;7,8863636365000005;2,51;6,875;8,502;7,0;0,8532580970462185;Alto;1;5,0;-1,0
2023;RA-879;;ALFA;ALFA B - G2/G3;Feminino;8,2;9,8;2,52;6,875;0,0;8,915;0,8532580970462185;Alto;1;5,0;-1,0
2024;RA-1323;;ALFA;ALFA K - G0/G1;Masculino;7,0;9,0833333335;7,51;6,875;10,002;6,66;0,8532580970462185;Alto;1;5,0;-1,0
2024;RA-868;;ALFA;ALFA A - G0/G1;Masculino;7,0;9,75;3,76;6,875;8,002;7,213333333;0,8532580970462185;Alto;1;5,0;-1,0
2024;RA-919;;ALFA;ALFA I - G2/G3;Masculino;5,25;4,692513369;6,255;6,875;7,002;6,49;0,8532580970462185;Alto;1;5,0;-2,0
2024;RA-994;;ALFA;ALFA T - G2/G3;Feminino;8,25;9,532608695499999;6,88;6,875;9,002;7,33;0,8532580970462185;Alto;1;5,0;-1,0
2024;RA-1385;;ALFA;ALFA U - G2/G3;Masculino;8,0;10,0;4,385;6,875;10,002;7,5;0,8532580970462185;Alto;1;5,0;-1,0
2023;RA-620;;FASE 2;2M;Masculino;6,2;8,4;7,52;6,875;6,8;7,503333333;0,8522790562249991;Alto;1;5,0;-1,0
2023;RA-164;;FASE 5;5M;Masculino;5,8;8,2;2,52;6,875;0,0;6,9625;0,8522790562249991;Alto;1;5,0;-1,0
2023;RA-1179;;FASE 4;4C;Masculino;5,0;8,1;4,38;6,875;9,6;7,17;0,8522790562249991;Alto;1;5,0;-1,0
2023;RA-404;;FASE 2;2L;Feminino;6,0;8,3;5,02;6,875;7,9;6,89;0,8522790562249991;Alto;1;5,0;-1,0
2023;RA-131;;FASE 5;5F;Feminino;2,2;7,8;5,0;7,65625;8,3;6,8;0,8501403702311872;Alto;1;5,0;-1,0
2023;RA-677;;ALFA;ALFA T - G2/G3;Feminino;8,7;8,2;10,0;6,875;10,0;9,84;0,8488616913010594;Alto;1;5,0;-1,0
2023;RA-474;;FASE 3;3K;Masculino;3,3;7,8;5,0;7,1875;0,0;6,7575;0,8487890623321817;Alto;1;5,0;-1,0
2023;RA-125;;FASE 5;5A;Feminino;5,8;7,7;5,0;8,125;9,2;7,835;0,847110552653218;Alto;1;5,0;-1,0
2023;RA-580;;FASE 1;1H;Feminino;9,0;9,8;7,52;8,75;8,5;8,67;0,845583247454365;Alto;1;5,0;-1,0
2023;RA-1061;;FASE 1;1M;Masculino;9,3;9,7;3,14;8,75;9,5;8,836666667;0,845583247454365;Alto;1;5,0;-1,0
2024;RA-1304;;ALFA;ALFA G - G2/G3;Feminino;6,0;7,9575163395;8,135;7,8125;9,002;6,493333333;0,8410114508162911;Alto;1;5,0;-2,0
2023;RA-1066;;FASE 1;1N;Feminino;6,2;6,6;7,52;8,4375;8,5;8,783333333;0,8399416156603877;Alto;1;5,0;-1,0
2023;RA-79;;FASE 6;6A;Feminino;7,6;6,2;5,0;7,8125;5,8;7,59;0,8398558146304421;Alto;1;5,0;-1,0
2024;RA-756;;ALFA;ALFA L - G2/G3;Masculino;5,5;8,75;7,51;8,125;10,002;7,24;0,839745424683855;Alto;1;5,0;-2,0
2024;RA-1354;;ALFA;ALFA Q - G2/G3;Feminino;6,0;8,3636363635;7,51;8,125;9,502;7,335;0,839745424683855;Alto;1;5,0;-1,0
2024;RA-1591;;4N;4N;Feminino;3,5;6,430976431;7,51;8,125;7,083;7,064;0,8394650563359346;Alto;1;5,0;-2,0
2024;RA-643;;2P;2P;Masculino;4,5;6,8660287085;7,51;8,125;9,002;5,826666667;0,8394650563359346;Alto;1;5,0;-1,0
2024;RA-273;;4N;4N;Feminino;4,5;7,323153899;6,26;8,125;9,168;6,896;0,8394650563359346;Alto;1;5,0;-1,0
2023;RA-273;;FASE 3;3L;Feminino;5,0;7,4;2,52;7,8125;7,9;7,6275;0,8391670700799045;Alto;1;5,0;-1,0
2023;RA-397;;FASE 4;4G;Feminino;4,6;7,9;2,52;7,1875;7,5;7,465;0,83838098870602;Alto;1;5,0;-1,0
2024;RA-1606;;5D;5D;Feminino;2,5;5,148148148;7,51;7,8125;8,334;7,132;0,8380652443056186;Alto;1;5,0;-2,0
2024;RA-1193;;4L;4L;Feminino;4,0;7,763157895;5,635;7,8125;8,751;7,79;0,8380652443056186;Alto;1;5,0;-1,0
2023;RA-458;;FASE 3;3P;Masculino;3,8;6,9;7,52;7,1875;9,6;6,2475;0,8373968901104603;Alto;1;5,0;-1,0
2024;RA-1529;;3F;3F;Feminino;5,5;7,435897436;7,51;8,125;6,666;6,964;0,837076625648757;Alto;1;5,0;-1,0
2023;RA-1098;;FASE 2;2D;Feminino;6,4;9,5;2,52;8,125;9,5;7,92;0,837076625648757;Alto;1;5,0;-1,0
2024;RA-1592;;4N;4N;Feminino;5,5;6,854727398333334;7,51;8,125;7,917;7,432;0,837076625648757;Alto;1;5,0;-1,0
2023;RA-237;;FASE 4;4F;Feminino;6,7;9,5;2,52;8,125;8,3;8,96;0,837076625648757;Alto;1;5,0;-1,0
2023;RA-1105;;FASE 2;2G;Feminino;6,0;9,0;2,52;8,125;0,0;8,673333333;0,837076625648757;Alto;1;5,0;-1,0
2023;RA-618;;FASE 2;2N;Masculino;6,2;9,2;5,02;8,125;0,0;7,95;0,837076625648757;Alto;1;5,0;-2,0
2024;RA-768;;1N;1N;Feminino;5,5;7,9841897235;6,26;8,125;9,002;7,495;0,837076625648757;Alto;1;5,0;-1,0
2024;RA-939;;1N;1N;Feminino;5,0;8,8833992095;5,63;8,125;9,002;7,495;0,837076625648757;Alto;1;5,0;-1,0
2023;RA-271;;FASE 4;4M;Feminino;5,9;9,3;2,52;8,125;0,0;7,7125;0,837076625648757;Alto;1;5,0;-2,0
2023;RA-1210;;FASE 5;5M;Feminino;4,7;9,4;5,0;7,8125;9,6;8,09;0,835536695806805;Alto;1;5,0;-1,0
2023;RA-286;;FASE 4;4L;Feminino;4,7;7,5;5,0;8,125;0,0;7,3375;0,8354930182238312;Alto;1;5,0;-1,0
2023;RA-546;;FASE 2;2H;Feminino;5,7;7,2;2,52;8,75;0,0;9,173333333;0,835449726069299;Alto;1;5,0;-1,0
2023;RA-1186;;FASE 4;4G;Feminino;5,5;9,8;6,89;6,875;8,8;7,3825;0,835438065697929;Alto;1;5,0;-2,0
2024;RA-709;;1H;1H;Feminino;6,0;7,994071146;7,51;6,875;7,418;6,773333333;0,835438065697929;Alto;1;5,0;-1,0
2023;RA-123;;FASE 5;5A;Masculino;5,7;9,4;5,0;6,875;0,0;6,8375;0,835438065697929;Alto;1;5,0;-2,0
2023;RA-1199;;FASE 5;5C;Masculino;6,2;9,1;5,0;6,875;6,7;8,0875;0,835438065697929;Alto;1;5,0;-2,0
2024;RA-1470;;2G;2G;Feminino;5,0;6,35610766;6,26;6,875;8,002;5,4125;0,835438065697929;Alto;1;5,0;-1,0
2024;RA-663;;2L;2L;Masculino;6,5;7,0910973085;5,625;6,875;8,502;6,89;0,835438065697929;Alto;1;5,0;-1,0
2023;RA-517;;FASE 2;2D;Feminino;6,6;9,0;2,52;6,875;4,1;6,7125;0,835438065697929;Alto;1;5,0;-1,0
2023;RA-1213;;FASE 5;5M;Feminino;6,0;8,4;2,52;7,8125;0,0;7,715;0,8352331403919057;Alto;1;5,0;-2,0
2023;RA-872;;ALFA;ALFA B - G2/G3;Feminino;4,3;6,7;2,52;6,25;0,0;8,5;0,8345142212796484;Alto;1;5,0;-2,0
2023;RA-606;;FASE 1;1K;Masculino;6,0;8,5;7,52;7,65625;8,5;8,223333333;0,8342239875909001;Alto;1;5,0;-1,0
2023;RA-752;;FASE 1;1N;Feminino;6,4;9,9;7,52;7,65625;9,5;9,23;0,8342239875909001;Alto;1;5,0;-1,0
2024;RA-1305;;ALFA;ALFA G - G2/G3;Feminino;4,75;8,710526316;2,51;7,8125;8,502;8,053333333;0,8334276382816832;Alto;1;5,0;-1,0
2023;RA-1206;;FASE 5;5M;Feminino;5,6;8,3;2,52;7,8125;8,8;7,7125;0,8325976482242309;Alto;1;5,0;-2,0
2024;RA-950;;ALFA;ALFA N - G2/G3;Feminino;7,0;9,023809524;7,51;6,875;9,502;8,0;0,8312146795654016;Alto;1;5,0;-1,0
2023;RA-964;;ALFA;ALFA Q - G2/G3;Masculino;7,2;9,4;7,52;6,875;8,5;8,5;0,8312146795654016;Alto;1;5,0;-1,0
2024;RA-1294;;ALFA;ALFA D - G2/G3;Masculino;7,75;10,0;7,51;6,875;9,502;7,553333333;0,8312146795654016;Alto;1;5,0;-2,0
2023;RA-905;;ALFA;ALFA F - G0/G1;Masculino;8,3;9,4;7,52;6,875;9,5;7,056666667;0,8312146795654016;Alto;1;5,0;-1,0
2024;RA-1293;;ALFA;ALFA D - G2/G3;Feminino;8,5;9,4949494945;7,51;6,875;8,002;8,336666667;0,8312146795654016;Alto;1;5,0;-1,0
2024;RA-909;;ALFA;ALFA J - G2/G3;Feminino;8,25;8,1666666665;7,51;6,875;10,002;7,5;0,8312146795654016;Alto;1;5,0;-2,0
2024;RA-1003;;ALFA;ALFA J - G2/G3;Masculino;8,25;8,6944444445;7,51;6,875;8,002;7,5;0,8312146795654016;Alto;1;5,0;-1,0
2024;RA-966;;ALFA;ALFA Q - G2/G3;Masculino;9,0;8,568181818;7,51;8,125;9,502;7,335;0,8311338663904256;Alto;1;5,0;-2,0
2024;RA-1355;;ALFA;ALFA Q - G2/G3;Masculino;7,0;6,5227272725;7,51;8,125;10,002;7,17;0,8311338663904256;Alto;1;5,0;-1,0
2023;RA-909;;ALFA;ALFA F - G0/G1;Feminino;9,2;9,9;7,52;8,125;10,0;8,056666667;0,8311338663904256;Alto;1;5,0;-2,0
2024;RA-979;;ALFA;ALFA Q - G2/G3;Masculino;8,25;9,5227272725;7,51;8,125;9,502;7,335;0,8311338663904256;Alto;1;5,0;-1,0
2024;RA-938;;ALFA;ALFA L - G2/G3;Masculino;7,75;9,544513457499999;7,51;8,125;9,502;7,665;0,8311338663904256;Alto;1;5,0;-1,0
2024;RA-929;;ALFA;ALFA O - G2/G3;Feminino;6,75;9,4736842105;7,51;8,125;9,002;7,58;0,8311338663904256;Alto;1;5,0;-1,0
2024;RA-941;;ALFA;ALFA L - G2/G3;Feminino;8,75;9,25;5,01;8,125;8,002;7,665;0,8311338663904256;Alto;1;5,0;-1,0
2024;RA-969;;ALFA;ALFA Q - G2/G3;Masculino;7,25;7,8636363634999995;7,51;8,125;9,002;7,335;0,8311338663904256;Alto;1;5,0;-1,0
2024;RA-912;;ALFA;ALFA G - G2/G3;Feminino;7,25;9,4736842105;7,51;8,125;9,002;6,943333333;0,8311338663904256;Alto;1;5,0;-2,0
2023;RA-725;;ALFA;ALFA F - G0/G1;Masculino;8,4;9,0;7,52;8,125;9,5;8,113333333;0,8311338663904256;Alto;1;5,0;-1,0
2024;RA-1287;;ALFA;ALFA C - G0/G1;Feminino;7,75;9,3064182195;2,51;8,125;10,002;8,223333333;0,8311338663904256;Alto;1;5,0;-1,0
2024;RA-861;;ALFA;ALFA B - G2/G3;Feminino;10,0;10,0;7,51;8,125;9,502;9,73;0,8311338663904256;Alto;1;5,0;-1,0
2023;RA-898;;ALFA;ALFA E - G2/G3;Masculino;9,4;9,8;3,77;8,125;9,0;10,01;0,8311338663904256;Alto;1;5,0;-1,0
2023;RA-708;;ALFA;ALFA F - G0/G1;Masculino;9,2;9,8;7,52;8,125;0,0;8,28;0,8311338663904256;Alto;1;5,0;-1,0
2024;RA-1012;;ALFA;ALFA C - G0/G1;Feminino;9,75;9,523809524;2,51;8,125;9,502;8,443333333;0,8311338663904256;Alto;1;5,0;-1,0
2023;RA-1222;;FASE 7;7A;Feminino;6,8;10,0;5,63;6,875;7,1;6,005;0,8292412015257499;Alto;1;5,0;-1,0
2024;RA-965;;ALFA;ALFA Q - G2/G3;Feminino;2,25;6,4772727275;7,51;8,75;9,002;6,83;0,8286416858427652;Alto;1;5,0;-2,0
2023;RA-938;;ALFA;ALFA K - G0/G1;Masculino;4,2;8,4;7,52;6,25;8,5;7,5;0,827793748632392;Alto;1;5,0;-1,0
2023;RA-1204;;FASE 5;5L;Masculino;6,1;8,7;5,0;7,8125;7,5;7,2125;0,8276036395955376;Alto;1;5,0;-1,0
2023;RA-1211;;FASE 5;5M;Feminino;6,2;9,1;5,0;7,8125;7,1;7,7125;0,8276036395955376;Alto;1;5,0;-1,0
2023;RA-239;;FASE 4;4G;Feminino;7,0;8,4;5,0;8,125;0,0;7,6275;0,8259457407975287;Alto;1;5,0;-2,0
2023;RA-426;;FASE 3;3M;Feminino;5,0;7,6;5,0;7,65625;5,4;7,5425;0,8256865206322789;Alto;1;5,0;-1,0
2024;RA-1422;;1J;1J;Feminino;4,75;7,5;7,51;8,125;9,502;7,7475;0,8255733916364044;Alto;1;5,0;-1,0
2023;RA-304;;FASE 3;3N;Masculino;5,7;8,8;5,0;7,8125;0,0;7,835;0,8248716994365217;Alto;1;5,0;-2,0
2023;RA-1212;;FASE 5;5M;Feminino;4,2;8,9;5,0;7,65625;8,3;7,715;0,8245116558256501;Alto;1;5,0;-1,0
2023;RA-192;;FASE 4;4B;Masculino;6,5;6,2;5,0;7,1875;8,8;7,3775;0,8241603167404247;Alto;1;5,0;-2,0
2023;RA-171;;FASE 5;5L;Masculino;5,2;7,2;5,0;7,1875;7,5;6,755;0,8241603167404247;Alto;1;5,0;-2,0
2024;RA-842;;1G;1G;Feminino;7,5;7,549407115;6,26;6,875;8,502;6,996666667;0,8224145288152744;Alto;1;5,0;-1,0
2024;RA-1617;;5M;5M;Feminino;3,25;5,571428571333333;7,51;6,875;0,0;6,1175;0,8224145288152744;Alto;1;5,0;-1,0
2024;RA-1028;;1B;1B;Masculino;7,5;7,055335968;5,63;6,875;8,002;8,393333333;0,8224145288152744;Alto;1;5,0;-2,0
2024;RA-738;;1H;1H;Feminino;7,25;7,292490119;6,885;6,875;10,002;7,39;0,8224145288152744;Alto;1;5,0;-1,0
2024;RA-1070;;1P;1P;Masculino;2,25;9,3073593075;5,635;6,875;9,002;6,6225;0,8224145288152744;Alto;1;5,0;-1,0
2023;RA-170;;FASE 3;3P;Feminino;7,2;8,9;2,52;6,875;8,8;7,6725;0,8224145288152744;Alto;1;5,0;-2,0
2024;RA-1421;;1H;1H;Masculino;7,5;6,777777778;7,51;6,875;9,002;7,163333333;0,8224145288152744;Alto;1;5,0;-1,0
2024;RA-1481;;2K;2K;Feminino;4,75;8,782608695499999;7,51;6,875;8,502;6,8275;0,8224145288152744;Alto;1;5,0;-1,0
2023;RA-1152;;FASE 3;3C;Masculino;6,8;9,4;5,0;7,8125;0,0;7,585;0,8221997210393407;Alto;1;5,0;-1,0
2023;RA-1220;;FASE 6;6L;Feminino;6,8;9,0;5,0;7,8125;0,0;7,63;0,8221997210393407;Alto;1;5,0;-1,0
2024;RA-483;;2B;2B;Feminino;5,25;5,6428571430000005;6,26;8,125;8,502;8,056666667;0,821944107286168;Alto;1;5,0;-1,0
2024;RA-955;;1K;1K;Feminino;5,75;6,904761905;7,51;8,125;0,0;8,255;0,821944107286168;Alto;1;5,0;-1,0
2024;RA-792;;1N;1N;Feminino;3,25;5,2865612650000005;7,51;8,125;8,502;7,075;0,821944107286168;Alto;1;5,0;-1,0
2023;RA-1097;;FASE 2;2D;Masculino;5,4;8,6;5,0;8,125;9,5;6,96;0,8210727392293349;Alto;1;5,0;-2,0
2023;RA-542;;FASE 2;2H;Feminino;6,3;9,7;5,0;8,75;9,5;9,006666667;0,8208944656515502;Alto;1;5,0;-1,0
2023;RA-678;;FASE 1;1B;Masculino;7,3;8,8;6,27;7,65625;8,0;8,336666667;0,8208732223009476;Alto;1;5,0;-1,0
2023;RA-874;;ALFA;ALFA B - G2/G3;Masculino;4,8;8,2;7,52;6,25;0,0;6,67;0,8202016167211061;Alto;1;5,0;-1,0
2023;RA-483;;FASE 1;1H;Feminino;5,6;6,0;2,52;7,916666667;9,0;8,166666667;0,817248550999344;Alto;1;5,0;-2,0
2022;RA-528;Aluno-528;1;D;Masculino;4,0;6,2;7,5;;0,0;6,944;0,816477819174182;Alto;1;5,0;
2022;RA-622;Aluno-622;1;N;Feminino;3,8;3,8;7,5;;3,5;6,0;0,816477819174182;Alto;1;5,0;
2022;RA-598;Aluno-598;1;L;Feminino;3,7;7,2;7,5;;9,5;6,944;0,816477819174182;Alto;1;5,0;
2022;RA-593;Aluno-593;1;K;Feminino;4,6;7,4;7,5;;7,5;6,278;0,816477819174182;Alto;1;5,0;
2022;RA-565;Aluno-565;1;H;Masculino;2,9;4,1;7,5;;9,0;5,917;0,816477819174182;Alto;1;5,0;
2022;RA-564;Aluno-564;1;H;Masculino;2,3;3,8;5,0;;9,5;6,833;0,816477819174182;Alto;1;5,0;
2022;RA-579;Aluno-579;1;J;Feminino;3,8;5,8;7,5;;8,5;7,222;0,816477819174182;Alto;1;5,0;
2022;RA-560;Aluno-560;1;H;Masculino;3,8;7,2;5,0;;6,9;3,75;0,816477819174182;Alto;1;5,0;
2022;RA-541;Aluno-541;1;F;Masculino;2,5;7,8;6,9;;10,0;5,0;0,816477819174182;Alto;1;2,5;
2022;RA-554;Aluno-554;1;G;Masculino;4,0;6,0;6,9;;7,9;5,75;0,816477819174182;Alto;1;5,0;
2022;RA-635;Aluno-635;1;P;Masculino;1,5;4,9;6,9;;10,0;6,444;0,816477819174182;Alto;1;5,0;
