RA;FASE;TURMA;NOME;ANO_NASC;IDADE_22;GENERO;ANO_INGRESSO;INSTITUICAO_DE_ENSINO;PEDRA_20;PEDRA_21;PEDRA_22;INDE_22;CG;CF;CT;NO_AV;AVALIADOR1;REC_AV1;AVALIADOR2;REC_AV2;AVALIADOR3;REC_AV3;AVALIADOR4;REC_AV4;IAA;IEG;IPS;REC_PSICOLOGIA;IDA;MATEM;PORTUG;INGLES;INDICADO;ATINGIU_PV;IPV;IAN;FASE_IDEAL;DEFAS;DESTAQUE_IEG;DESTAQUE_IDA;DESTAQUE_IPV;ANO;INDE_2023;PEDRA_2023;NOME_ANONIMIZADO;DATA_DE_NASC;IDADE;IPP;MAT;POR;ING;DEFASAGEM;INDE_2024;PEDRA_2024;PEDRA_23;INDE_23;AVALIADOR5;AVALIADOR6;ESCOLA;ATIVO_INATIVO;ATIVO_INATIVO1;INDE;RISCO_DEFASAGEM;FAIXA_INDE;FAIXA_IAA;FAIXA_IEG;FAIXA_IPS;FAIXA_IPP;FAIXA_IDA;FAIXA_IPV;FAIXA_IAN;FAIXA_DEFASAGEM;DIF_AUTOAVALIACAO_DESEMPENHO;DIF_ENGAJAMENTO_DESEMPENHO;DIF_PSICOPEDAGOGICO_NIVEL;MEDIA_INDICADORES_SEM_IAN;QTD_INDICADORES_ABAIXO_5;QTD_INDICADORES_ABAIXO_7;INSTITUICAO_ENSINO;PROB_RISCO_DEFASAGEM;GRUPO_MULTI;CLASSIFICACAO_MODELO;PEDRA_ANALISE
RA-61;5;B;Aluno-61;2007,0;15,0;Masculino;2021;Escola Pública;;Ágata;Ametista;7,533;298,0;20,0;8,0;3,0;Avaliador-5;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;Avaliador-24;Promovido de Fase + Bolsa;Avaliador-31;;9,2;7,4;7,5;Não atendido;5,8;1,7;6,3;9,3;Sim;Não;7,875;10,0;Fase 5 (1º EM);0,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;7,533;0;Bom;Excelente;Bom;Bom;Sem informação;Médio;Bom;Excelente;Sem informação;3,3999999999999995;1,6000000000000005;;7,5550000000000015;0;1;;0,7123426412952818;Misto;1;nan
RA-68;5;C;Aluno-68;2006,0;16,0;Masculino;2019;Escola Pública;Ametista;Ágata;Ágata;6,438;653,0;40,0;2,0;4,0;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-28;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;8,3;6,0;7,5;Não atendido;4,0;4,7;4,8;2,7;Sim;Não;7,944;5,0;Fase 6 (2º EM);-1,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,438;1;Médio;Bom;Médio;Bom;Sem informação;Baixo;Bom;Médio;Sem informação;4,300000000000001;2,0;;6,7488;1;2;;0,7782579345078049;IDA e IEG < 7;1;nan
RA-69;5;C;Aluno-69;2006,0;16,0;Masculino;2018;Escola Pública;Ametista;Ametista;Quartzo;5,718;756,0;47,0;3,0;4,0;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-28;Alocado em Fase anterior;Avaliador-31;Alocado em Fase anterior;8,3;6,1;7,5;Sem limitações;2,5;4,7;2,6;0,3;Não;Não;6,167;5,0;Fase 6 (2º EM);-1,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;5,718;1;Médio;Bom;Médio;Bom;Sem informação;Baixo;Médio;Médio;Sem informação;5,800000000000001;3,5999999999999996;;6,1134;1;3;;0,7782579345078049;IDA e IEG < 7;1;nan
RA-70;5;C;Aluno-70;2006,0;16,0;Feminino;2017;Escola Pública;Ágata;Quartzo;Quartzo;5,712;757,0;48,0;4,0;4,0;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-28;Mantido na Fase atual;Avaliador-31;Promovido de Fase;8,8;6,6;5,0;Sem limitações;2,9;5,7;2,9;0,2;Não;Não;6,111;5,0;Fase 6 (2º EM);-1,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;5,712;1;Médio;Excelente;Médio;Médio;Sem informação;Baixo;Médio;Médio;Sem informação;5,9;3,6999999999999997;;5,882199999999999;1;4;;0,7782579345078049;IDA e IEG < 7;1;nan
RA-74;5;C;Aluno-74;2006,0;16,0;Masculino;2022;Escola Pública;;;Quartzo;4,989;820,0;57,0;7,0;4,0;Avaliador-6;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;Avaliador-28;Mantido na Fase atual;Avaliador-31;Alocado em Fase anterior;9,6;3,3;7,5;Não atendido;2,0;6,0;0,0;0,0;Não;Não;5,833;5,0;Fase 6 (2º EM);-1,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;4,989;1;Baixo;Excelente;Baixo;Bom;Sem informação;Baixo;Médio;Médio;Sem informação;7,6;1,2999999999999998;;5,646599999999999;2;3;;0,7782579345078049;IDA e IEG < 7;1;nan
RA-82;5;K;Aluno-82;2005,0;17,0;Feminino;2022;Escola Pública;;;Ágata;6,596;628,0;37,0;9,0;4,0;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-24;Promovido de Fase + Bolsa;Avaliador-31;Mantido na Fase atual;8,8;6,8;7,5;Não atendido;5,5;6,0;5,0;;Sim;Não;6,417;5,0;Fase 7 (3º EM);-2,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,596;1;Médio;Excelente;Médio;Bom;Sem informação;Médio;Médio;Médio;Sem informação;3,3000000000000007;1,2999999999999998;;7,003400000000001;0;3;;0,7455846760151623;IDA e IEG < 7;1;nan
RA-89;5;K;Aluno-89;2006,0;16,0;Masculino;2021;Escola Pública;;Quartzo;Ametista;7,323;383,0;24,0;5,0;4,0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-24;Mantido na Fase atual;Avaliador-31;Promovido de Fase + Bolsa;9,6;7,8;7,5;Não atendido;5,9;7,5;5,7;4,7;Sim;Não;8,0;5,0;Fase 6 (2º EM);-1,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;7,323;1;Bom;Excelente;Bom;Bom;Sem informação;Médio;Bom;Médio;Sem informação;3,6999999999999993;1,8999999999999995;;7,76;0;1;;0,7123426412952818;Misto;1;nan
RA-95;5;L;Aluno-95;2005,0;17,0;Feminino;2022;Escola Pública;;;Ágata;6,308;685,0;41,0;9,0;4,0;Avaliador-5;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-24;Mantido na Fase atual;Avaliador-31;Alocado em Fase anterior;8,3;6,6;7,5;Sem limitações;4,8;6,0;8,0;0,5;Não;Não;6,292;5,0;Fase 7 (3º EM);-2,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,308;1;Médio;Bom;Médio;Bom;Sem informação;Baixo;Médio;Médio;Sem informação;3,500000000000001;1,7999999999999998;;6,6983999999999995;1;3;;0,7596713301976176;IDA e IEG < 7;1;nan
RA-99;5;L;Aluno-99;2006,0;16,0;Masculino;2019;Escola Pública;Ágata;Ágata;Ágata;6,158;701,0;44,0;10,0;4,0;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-28;Promovido de Fase;Avaliador-31;Alocado em Fase anterior;8,8;6,3;7,5;Não atendido;5,0;5,7;3,4;5,8;Não;Não;5,833;5,0;Fase 6 (2º EM);-1,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,158;1;Médio;Excelente;Médio;Bom;Sem informação;Médio;Médio;Médio;Sem informação;3,8000000000000007;1,2999999999999998;;6,6866;0;3;;0,7455846760151623;IDA e IEG < 7;1;nan
RA-115;4;A;Aluno-115;2006,0;16,0;Feminino;2019;Escola Pública;Ametista;Ametista;Quartzo;5,886;740,0;67,0;14,0;4,0;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Mantido na Fase atual;Avaliador-31;Promovido de Fase;8,3;6,8;6,3;Requer avaliação;3,8;3,0;5,7;2,7;Não;Não;5,583;5,0;Fase 6 (2º EM);-2,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;5,886;1;Médio;Bom;Médio;Médio;Sem informação;Baixo;Médio;Médio;Sem informação;4,500000000000001;3,0;;6,1566;1;4;;0,7782579345078049;IDA e IEG < 7;1;nan
RA-119;4;B;Aluno-119;2008,0;14,0;Feminino;2016;Rede Decisão;Ametista;Ágata;Ametista;7,501;311,0;26,0;3,0;4,0;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;8,3;8,2;5,6;Requer avaliação;5,4;5,7;7,0;3,4;Não;Não;7,875;10,0;Fase 4 (9º ano);0,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;7,501;0;Bom;Bom;Bom;Médio;Sem informação;Médio;Bom;Excelente;Sem informação;2,9000000000000004;2,799999999999999;;7,075;0;2;;0,7363935182459818;Psico abaixo de 7;1;nan
RA-130;4;F;Aluno-130;2006,0;16,0;Feminino;2018;Escola Pública;Quartzo;Ágata;Quartzo;5,624;772,0;69,0;14,0;4,0;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase;8,3;4,7;5,0;Requer avaliação;4,1;3,7;5,2;3,5;Não;Não;6,5;5,0;Fase 6 (2º EM);-2,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;5,624;1;Médio;Bom;Baixo;Médio;Sem informação;Baixo;Médio;Médio;Sem informação;4,200000000000001;0,6000000000000005;;5,720000000000001;2;4;;0,7782579345078049;IDA e IEG < 7;1;nan
RA-131;4;F;Aluno-131;2007,0;15,0;Feminino;2016;Escola Pública;Topázio;Ametista;Ametista;7,174;440,0;35,0;7,0;4,0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;8,8;9,0;5,6;Sem limitações;5,6;6,0;6,5;4,2;Sim;Não;7,75;5,0;Fase 5 (1º EM);-1,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;7,174;1;Bom;Excelente;Excelente;Médio;Sem informação;Médio;Bom;Médio;Sem informação;3,200000000000001;3,4000000000000004;;7,35;0;2;;0,7082121865144276;Psico abaixo de 7;1;nan
RA-134;4;F;Aluno-134;2007,0;15,0;Feminino;2021;Escola Pública;;Ágata;Ágata;6,607;623,0;56,0;12,0;4,0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Promovido de Fase;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase;8,8;6,8;7,5;Não atendido;4,7;4,7;6,8;2,5;Sim;Não;7,375;5,0;Fase 5 (1º EM);-1,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,607;1;Médio;Excelente;Médio;Bom;Sem informação;Baixo;Bom;Médio;Sem informação;4,1000000000000005;2,0999999999999996;;7,034999999999999;1;2;;0,7596713301976176;IDA e IEG < 7;1;nan
RA-136;4;F;Aluno-136;2007,0;15,0;Masculino;2019;Escola Pública;Ágata;Ágata;Ágata;6,478;646,0;59,0;13,0;4,0;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Mantido na Fase atual;Avaliador-31;Promovido de Fase;10,0;6,3;7,5;Não atendido;4,6;5,3;5,7;2,8;Não;Não;6,667;5,0;Fase 5 (1º EM);-1,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,478;1;Médio;Excelente;Médio;Bom;Sem informação;Baixo;Médio;Médio;Sem informação;5,4;1,7000000000000002;;7,0134;1;3;;0,7782579345078049;IDA e IEG < 7;1;nan
RA-138;4;F;Aluno-138;2007,0;15,0;Masculino;2016;Escola Pública;Ametista;Ágata;Ágata;6,738;573,0;53,0;11,0;4,0;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;9,6;8,0;5,6;Requer avaliação;5,6;5,0;6,5;5,2;Sim;Não;6,375;5,0;Fase 5 (1º EM);-1,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,738;1;Médio;Excelente;Bom;Médio;Sem informação;Médio;Médio;Médio;Sem informação;4,0;2,4000000000000004;;7,035000000000001;0;3;;0,7455846760151623;Psico abaixo de 7;1;nan
RA-141;4;F;Aluno-141;2008,0;14,0;Masculino;2017;Escola Pública;Ágata;Ágata;Ametista;7,118;450,0;36,0;8,0;4,0;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Mantido na Fase atual;Avaliador-31;Promovido de Fase;9,2;8,2;5,6;Requer avaliação;5,7;5,8;6,2;5,0;Não;Não;5,917;10,0;Fase 4 (9º ano);0,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;7,118;0;Bom;Excelente;Bom;Médio;Sem informação;Médio;Médio;Excelente;Sem informação;3,499999999999999;2,499999999999999;;6,923399999999999;0;3;;0,7363935182459818;Psico abaixo de 7;1;nan
RA-148;4;H;Aluno-148;2008,0;14,0;Masculino;2022;Escola Pública;;;Ametista;7,894;172,0;16,0;2,0;4,0;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;9,2;7,9;10,0;Sem limitações;5,3;4,7;6,3;5,0;Sim;Não;7,708;10,0;Fase 4 (9º ano);0,0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;7,894;0;Bom;Excelente;Bom;Excelente;Sem informação;Médio;Bom;Excelente;Sem informação;3,8999999999999995;2,6000000000000005;;8,0216;0;1;;0,6943721571254228;Misto;1;nan
RA-149;4;H;Aluno-149;2007,0;15,0;Feminino;2022;Escola Pública;;;Ágata;6,323;679,0;60,0;6,0;4,0;Avaliador-6;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Alocado em Fase anterior;9,2;6,5;7,5;Não atendido;5,0;4,0;6,0;;Não;Não;6,125;5,0;Fase 5 (1º EM);-1,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,323;1;Médio;Excelente;Médio;Bom;Sem informação;Médio;Médio;Médio;Sem informação;4,199999999999999;1,5;;6,865;0;3;;0,7455846760151623;IDA e IEG < 7;1;nan
RA-154;4;L;Aluno-154;2007,0;15,0;Masculino;2017;Escola Pública;Ágata;Ágata;Ágata;6,073;714,0;65,0;15,0;4,0;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;Avaliador-30;Promovido de Fase;Avaliador-31;Promovido de Fase + Bolsa;8,3;6,1;6,3;Sem limitações;4,0;3,7;6,2;2,1;Sim;Não;6,833;5,0;Fase 5 (1º EM);-1,0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022;;;;;;;;;;;;;;;;;;;;6,073;1;Médio;Bom;Médio;Médio;Sem informação;Baixo;Médio;Médio;Sem informação;4,300000000000001;2,0999999999999996;;6,3066;1;4;;0,7782579345078049;IDA e IEG < 7;1;nan
